prize_pool,name,region,url,tournament_id
4353,Champions Tour Indonesia Stage 2: Challengers 2,mod-id,https://www.vlr.gg/event/420/champions-tour-indonesia-stage-2-challengers-2,420
2300,Champions Tour Hong Kong & Taiwan Stage 2: Challengers 2,mod-tw,https://www.vlr.gg/event/433/champions-tour-hong-kong-taiwan-stage-2-challengers-2,433
4236,Champions Tour Philippines Stage 2: Challengers 2,mod-ph,https://www.vlr.gg/event/431/champions-tour-philippines-stage-2-challengers-2,431
3116,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,mod-my,https://www.vlr.gg/event/383/champions-tour-malaysia-singapore-stage-2-challengers-2,383
50000,Champions Tour North America Stage 2: Challengers 1,mod-us,https://www.vlr.gg/event/370/champions-tour-north-america-stage-2-challengers-1,370
4500,Champions Tour LATAM Stage 2: Challengers 1,mod-un,https://www.vlr.gg/event/396/champions-tour-latam-stage-2-challengers-1,396
0,Champions Tour Japan Stage 2: Challengers 1,mod-jp,https://www.vlr.gg/event/377/champions-tour-japan-stage-2-challengers-1,377
41341,Champions Tour Europe Stage 2: Challengers 1,mod-eu,https://www.vlr.gg/event/374/champions-tour-europe-stage-2-challengers-1,374
21261,Champions Tour CIS Stage 2: Challengers 1,mod-ru,https://www.vlr.gg/event/387/champions-tour-cis-stage-2-challengers-1,387
21261,Champions Tour Turkey Stage 2: Challengers 1,mod-tr,https://www.vlr.gg/event/388/champions-tour-turkey-stage-2-challengers-1,388
2877,Champions Tour Philippines Stage 2: Challengers 1,mod-ph,https://www.vlr.gg/event/385/champions-tour-philippines-stage-2-challengers-1,385
5000,Champions Tour Hong Kong & Taiwan Stage 2: Challengers 1,mod-tw,https://www.vlr.gg/event/384/champions-tour-hong-kong-taiwan-stage-2-challengers-1,384
4354,Champions Tour Thailand Stage 2: Challengers 1,mod-th,https://www.vlr.gg/event/386/champions-tour-thailand-stage-2-challengers-1,386
1662,Champions Tour Indonesia Stage 2: Challengers 1,mod-id,https://www.vlr.gg/event/379/champions-tour-indonesia-stage-2-challengers-1,379
3116,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,mod-my,https://www.vlr.gg/event/373/champions-tour-malaysia-singapore-stage-2-challengers-1,373
21261,Champions Tour CIS Stage 2: Challengers 2,mod-ru,https://www.vlr.gg/event/391/champions-tour-cis-stage-2-challengers-2,391
8937,Champions Tour Brazil Stage 2: Challengers 1,mod-br,https://www.vlr.gg/event/363/champions-tour-brazil-stage-2-challengers-1,363
60000,Champions Tour LATAM Stage 1: Masters,mod-un,https://www.vlr.gg/event/340/champions-tour-latam-stage-1-masters,340
45469,Champions Tour Brazil Stage 1: Masters,mod-br,https://www.vlr.gg/event/338/champions-tour-brazil-stage-1-masters,338
150000,Champions Tour North America Stage 1: Masters,mod-us,https://www.vlr.gg/event/333/champions-tour-north-america-stage-1-masters,333
150000,Champions Tour Europe Stage 1: Masters,mod-eu,https://www.vlr.gg/event/334/champions-tour-europe-stage-1-masters,334
75000,Champions Tour Turkey Stage 1: Masters,mod-tr,https://www.vlr.gg/event/342/champions-tour-turkey-stage-1-masters,342
